apn,address,base_zoning,lot_size_sqft,zip_code,original_score,calibrated_score,score_improvement,original_tier,calibrated_tier,toc_tier,toc_bonus_points,toc_station,distance_to_transit,final_use_case,investment_grade
5406030028,1069 W SUNSET BLVD,DM1,3509.3,90012.0,24.52,28.51,3.990000000000002,D,D,,,,,Hold/Income Property,False
6037008023,9107 S DALTON AVE,R1,6748.1,90047.0,32.69,31.0,-1.6899999999999977,D,D,,,,,Hold/Income Property,False
2119007004,18147 W COHASSET ST,R1,6317.7,91335.0,32.15,30.57,-1.5799999999999983,D,D,,,,,Hold/Income Property,False
4313016037,9603 W VENICE BLVD,MU(EC),4377.0,90232.0,26.69,29.38,2.6899999999999977,D,D,,,,,Hold/Income Property,False
7422013005,1739 N BANNING BLVD,R1,5430.2,90744.0,31.04,29.68,-1.3599999999999994,D,D,0.0,0.0,North Hollywood,28008.0,Hold/Income Property,False
2210014017,8140 N WILLIS AVE,R1,6239.8,91402.0,32.05,30.49,-1.5599999999999987,D,D,,,,,Hold/Income Property,False
5002006006,1237 W 54TH ST,R2,5188.0,90037.0,34.23,34.69,0.46000000000000085,D,D,,,,,Hold/Income Property,False
2184053020,18440 W ST MORITZ DR,RA,18039.9,91356.0,34.71,33.41,-1.3000000000000043,D,D,,,,,Hold/Income Property,False
5210034005,,CM,6118.4,,46.15,47.12,0.9699999999999989,D,D,,,,,Commercial Development,False
2276007037,4576 N SEPULVEDA BLVD,C2,7990.0,91403.0,49.82,52.16,2.3399999999999963,D,C,0.0,0.0,Highland Park,11838.0,Commercial Development,False
2334010039,6248 N AGNES AVE,R1,6749.8,91606.0,32.69,31.0,-1.6899999999999977,D,D,,,,,Hold/Income Property,False
2269012008,13944 W HESBY ST,R1,6049.2,91423.0,31.81,30.3,-1.509999999999998,D,D,0.0,0.0,Hollywood/Western,5548.0,Hold/Income Property,False
5422019021,2152 W EWING ST,R2,7490.6,90039.0,36.91,36.83,-0.0799999999999983,D,D,,,,,Hold/Income Property,False
6014024027,1337 W 69TH ST,R1,4026.7,90044.0,28.07,28.28,0.21000000000000085,D,D,,,,,Hold/Income Property,False
2123003010,6505 N YARMOUTH AVE,R1,6041.4,91335.0,31.8,30.29,-1.5100000000000016,D,D,,,,,Hold/Income Property,False
2524016006,13466 W BROWNELL ST,R1,7438.8,91340.0,33.37,31.54,-1.8299999999999983,D,D,,,,,Hold/Income Property,False
2126026011,6838 N GEYSER AVE,R1,6746.2,91335.0,32.68,31.0,-1.6799999999999997,D,D,0.0,0.0,Expo/Bundy,12927.0,Hold/Income Property,False
5082024019,,C4,1916.0,,41.44,49.92,8.480000000000004,D,D,,,,,Commercial Development,False
2134026017,19835 W HAMLIN ST,RS,7498.9,91367.0,32.72,30.88,-1.8399999999999999,D,D,,,,,Hold/Income Property,False
4220016018,11939 W JEFFERSON BLVD,R3,2500.1,90230.0,36.92,39.0,2.0799999999999983,D,D,0.0,0.0,North Hollywood,45776.0,Multi-Family Development,False
2787034011,17471 W RAYMER ST,RA,24939.4,91325.0,37.7,34.79,-2.9100000000000037,D,D,,,,,Hold/Income Property,False
2701039017,20133 W VIA CELLINI,RE11,11049.6,91326.0,34.01,31.92,-2.0899999999999963,D,D,0.0,0.0,North Hollywood,52800.0,Hold/Income Property,False
5436026022,3455 W GARDEN AVE,R1,6756.3,90039.0,32.7,31.01,-1.6900000000000013,D,D,0.0,0.0,North Hollywood,26062.0,Hold/Income Property,False
5185027025,656 S MATHEWS ST,R2,5250.1,90023.0,34.31,34.75,0.4399999999999977,D,D,,,,,Hold/Income Property,False
2269018014,14006 W LA MAIDA ST,R1,5994.0,91423.0,31.74,30.24,-1.5,D,D,0.0,0.0,North Hollywood,37651.0,Hold/Income Property,False
2272028010,3624 N GLENRIDGE DR,RE40,12242.6,91423.0,34.31,32.4,-1.9100000000000037,D,D,0.0,0.0,Maravilla,6416.0,Hold/Income Property,False
2279008013,3525 N WOODCLIFF ROAD,RE15,6966.5,91403.0,31.21,29.47,-1.740000000000002,D,D,0.0,0.0,Hollywood/Western,12825.0,Hold/Income Property,False
4116016012,260 E REES ST,R1,6994.2,90293.0,32.99,31.24,-1.7500000000000036,D,D,,,,,Hold/Income Property,False
5469009002,645 N AVE 50,RD2,6154.0,90042.0,45.94,44.4,-1.5399999999999991,D,D,,,,,Hold/Income Property,False
4314021019,3326 1-9 S KEYSTONE AVE,R3,7495.2,90034.0,44.16,42.83,-1.3299999999999983,D,D,,,,,Multi-Family Development,False
7349018028,1539 W 214TH ST,R1,6000.7,90501.0,31.75,30.25,-1.5,D,D,0.0,0.0,Long Beach,48425.0,Hold/Income Property,False
7459010014,1356 W 17TH ST,R1,6832.8,90732.0,32.79,31.08,-1.7100000000000009,D,D,0.0,0.0,Washington,9341.0,Hold/Income Property,False
5064008028,,C2,3256.1,,43.14,49.26,6.119999999999997,D,D,,,,,Commercial Development,False
2527005013,11870 N SPROULE AVE,R1,7352.4,91331.0,33.29,31.48,-1.8099999999999987,D,D,0.0,0.0,North Hollywood,21350.0,Hold/Income Property,False
2507012012,14466 W BEAVER ST,R1,6171.3,91342.0,31.96,34.92,2.960000000000001,D,D,2.0,8.0,Farmdale,1624.0,Hold/Income Property,False
5431036010,1745 N SILVER LAKE BLVD,R2,2703.3,90026.0,28.01,31.2,3.1899999999999977,D,D,0.0,0.0,Expo/Bundy,8461.0,Hold/Income Property,False
5567013031,2012 N STANLEY HILLS DR,R1,3000.0,90046.0,25.5,27.25,1.75,D,D,,,,,Hold/Income Property,False
5402034014,2127 3/4 W SUNSET BLVD,C2,7512.9,90026.0,50.93,54.34,3.4100000000000037,C,C,,,,,Commercial Development,False
7425015003,1310 E ROBIDOUX ST,R1,5120.6,90744.0,30.65,29.37,-1.2799999999999976,D,D,,,,,Hold/Income Property,False
5139011002,1053 S HILL ST,HB3,4783.2,90015.0,26.71,29.78,3.0700000000000003,D,D,0.0,0.0,Expo/Sepulveda,4684.0,Hold/Income Property,False
2369023001,3809 N BUENA PARK DR,R1,8714.1,91604.0,34.43,32.39,-2.039999999999999,D,D,0.0,0.0,Long Beach,40782.0,Hold/Income Property,False
2555026024,8428 W FENWICK ST,R1,4949.7,91040.0,30.37,29.2,-1.1700000000000017,D,D,0.0,0.0,,,Hold/Income Property,False
