apn,address,zip_code,zoning,lot_size,building_sqft,units,toc_status,lot_size_sqft,building_size_sqft,base_zoning,latitude,longitude,toc_eligible,high_quality_transit,opportunity_zone,overlay_count,methane_zone,fault_zone,flood_zone,specific_plan_area,assessed_land_value,total_assessed_value,assessor_parcel_id,site_address,toc_toc_tier,toc_bonus_points,toc_description,toc_nearest_station,toc_distance_feet,toc_station_type,toc_station_line,development_score,score_breakdown,suggested_use,investment_tier
5406030028,1069 W SUNSET BLVD,90012.0,[DM1-G1-5] [CX2-FA] [CPIO],"3,509.3 (sq ft)","2,246.0 (sq ft)",0.0,,3509.3,2246.0,DM1,34.0689673500866,-118.24800267900308,False,No,none,0,none,none,none,,2338171.809883426,2957469.7144228844,5406030028,1069 W SUNSET BLVD,,,,,,,,28.51,"{""zoning_score"": 50.0, ""lot_size_score"": 47.5465, ""toc_bonus"": 0, ""financial_score"": 15, ""risk_penalty"": 0}",Hold/Income Property,D
6037008023,9107 S DALTON AVE,90047.0,R1-1,"6,748.1 (sq ft)","1,110.0 (sq ft)",1.0,,6748.1,1110.0,R1,33.97073110929605,-118.30560149387256,False,No,none,0,none,none,none,,3386096.751090665,3752890.813714327,6037008023,9107 S DALTON AVE,,,,,,,,31.0,"{""zoning_score"": 45.0, ""lot_size_score"": 63.740500000000004, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2119007004,18147 W COHASSET ST,91335.0,R1-1,"6,317.7 (sq ft)","1,628.0 (sq ft)",1.0,,6317.7,1628.0,R1,34.263206896515634,-118.20228139429668,False,No,none,0,none,none,none,,4378095.193782846,5027736.997339312,2119007004,18147 W COHASSET ST,,,,,,,,30.57,"{""zoning_score"": 45.0, ""lot_size_score"": 61.588499999999996, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
4313016037,9603 W VENICE BLVD,90232.0,MU(EC),"4,377.0 (sq ft)","5,349.0 (sq ft)",0.0,,4377.0,5349.0,MU(EC),34.09742009410213,-118.23964085890407,False,No,none,0,none,none,none,,4491288.92140522,6374818.098365886,4313016037,9603 W VENICE BLVD,,,,,,,,29.38,"{""zoning_score"": 50.0, ""lot_size_score"": 51.885, ""toc_bonus"": 0, ""financial_score"": 15, ""risk_penalty"": 0}",Hold/Income Property,D
7422013005,1739 N BANNING BLVD,90744.0,R1-1XL-O-CUGU,"5,430.2 (sq ft)",874.0 (sq ft),1.0,,5430.2,874.0,R1,33.79581047798459,-118.26120499184465,False,No,none,0,none,none,none,,3517246.590829877,3910415.2747694957,7422013005,1739 N BANNING BLVD,0.0,0.0,No TOC Tier,North Hollywood,28008.0,rail,Red,29.68,"{""zoning_score"": 45.0, ""lot_size_score"": 57.150999999999996, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2210014017,8140 N WILLIS AVE,91402.0,R1-1,"6,239.8 (sq ft)","1,471.0 (sq ft)",1.0,,6239.8,1471.0,R1,34.2290221358315,-118.29189999329623,False,No,none,0,none,none,none,,3005435.921767692,3816994.326132809,2210014017,8140 N WILLIS AVE,,,,,,,,30.49,"{""zoning_score"": 45.0, ""lot_size_score"": 61.199, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5002006006,1237 W 54TH ST,90037.0,R2-1-CPIO,"5,188.0 (sq ft)","1,521.0 (sq ft)",1.0,,5188.0,1521.0,R2,34.00840825940449,-118.29545723444346,False,No,none,0,none,none,none,,5359193.253625454,6111895.816415266,5002006006,1237 W 54TH ST,,,,,,,,34.69,"{""zoning_score"": 60.0, ""lot_size_score"": 55.94, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2184053020,18440 W ST MORITZ DR,91356.0,RA-1,"18,039.9 (sq ft)","3,368.0 (sq ft)",1.0,,18039.9,3368.0,RA,34.24461970927343,-118.46597229704109,False,No,none,0,none,none,none,,7458011.870195894,8587768.38476421,2184053020,18440 W ST MORITZ DR,,,,,,,,33.41,"{""zoning_score"": 38.0, ""lot_size_score"": 88.0399, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5210034005,,,CM-1VL,"6,118.4 (sq ft)","5,280.0 (sq ft)",0.0,,6118.4,5280.0,CM,,,False,No,none,0,none,none,none,,2802769.6180968983,4416708.893131858,5210034005,,,,,,,,,47.12,"{""zoning_score"": 100.0, ""lot_size_score"": 60.592, ""toc_bonus"": 0.0, ""financial_score"": 0, ""risk_penalty"": 0}",Commercial Development,D
2276007037,4576 N SEPULVEDA BLVD,91403.0,C2-2,"7,990.0 (sq ft)","401,867.0 (sq ft)",0.0,,7990.0,401867.0,C2,34.23451234805589,-118.26070136734262,False,No,none,0,none,none,none,,8842549.2173539,234231887.62774453,2276007037,4576 N SEPULVEDA BLVD,0.0,0.0,No TOC Tier,Highland Park,11838.0,rail,Gold,52.16,"{""zoning_score"": 110.0, ""lot_size_score"": 68.3, ""toc_bonus"": 0, ""financial_score"": 0, ""risk_penalty"": 0}",Commercial Development,C
2334010039,6248 N AGNES AVE,91606.0,R1-1,"6,749.8 (sq ft)","1,404.0 (sq ft)",1.0,,6749.8,1404.0,R1,34.21060030077332,-118.52093682876179,False,No,none,0,none,none,none,,7104638.821554226,7749695.820804404,2334010039,6248 N AGNES AVE,,,,,,,,31.0,"{""zoning_score"": 45.0, ""lot_size_score"": 63.749, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2269012008,13944 W HESBY ST,91423.0,R1-1-RIO,"6,049.2 (sq ft)","1,276.0 (sq ft)",1.0,,6049.2,1276.0,R1,34.23751240445026,-118.18094184675789,False,No,none,0,none,none,none,,4991129.379393308,5487880.610486073,2269012008,13944 W HESBY ST,0.0,0.0,No TOC Tier,Hollywood/Western,5548.0,rail,Red,30.3,"{""zoning_score"": 45.0, ""lot_size_score"": 60.246, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5422019021,2152 W EWING ST,90039.0,R2-1VL,"7,490.6 (sq ft)",986.0 (sq ft),1.0,,7490.6,986.0,R2,34.117512692615634,-118.27747485499559,False,No,none,0,none,none,none,,4554425.516185307,5112219.847138579,5422019021,2152 W EWING ST,,,,,,,,36.83,"{""zoning_score"": 60.0, ""lot_size_score"": 66.63533333333334, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
6014024027,1337 W 69TH ST,90044.0,R1-1,"4,026.7 (sq ft)",925.0 (sq ft),1.0,,4026.7,925.0,R1,33.94543735663169,-118.27234291468613,False,No,none,0,none,none,none,,3183383.513229955,3440901.6010801517,6014024027,1337 W 69TH ST,,,,,,,,28.28,"{""zoning_score"": 45.0, ""lot_size_score"": 50.1335, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2123003010,6505 N YARMOUTH AVE,91335.0,R1-1-RIO,"6,041.4 (sq ft)","1,447.0 (sq ft)",1.0,,6041.4,1447.0,R1,34.270657983540744,-118.17029750388718,False,No,none,0,none,none,none,,7045768.428601561,7500494.055582861,2123003010,6505 N YARMOUTH AVE,,,,,,,,30.29,"{""zoning_score"": 45.0, ""lot_size_score"": 60.207, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2524016006,13466 W BROWNELL ST,91340.0,R1-1-CUGU,"7,438.8 (sq ft)",910.0 (sq ft),1.0,,7438.8,910.0,R1,34.286644340530586,-118.16434591167452,False,No,none,0,none,none,none,,5030627.391291554,5538035.678724116,2524016006,13466 W BROWNELL ST,,,,,,,,31.54,"{""zoning_score"": 45.0, ""lot_size_score"": 66.46266666666666, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2126026011,6838 N GEYSER AVE,91335.0,R1-1-RIO,"6,746.2 (sq ft)",818.0 (sq ft),1.0,,6746.2,818.0,R1,34.26704879467743,-118.20123523567611,False,No,none,0,none,none,none,,4569571.29119655,4991591.733059285,2126026011,6838 N GEYSER AVE,0.0,0.0,No TOC Tier,Expo/Bundy,12927.0,rail,Expo,31.0,"{""zoning_score"": 45.0, ""lot_size_score"": 63.730999999999995, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5082024019,,,C4-1-O,"1,916.0 (sq ft)","2,117.0 (sq ft)",1.0,,1916.0,2117.0,C4,,,False,No,none,0,none,none,none,,1564174.6262764346,2589512.081207071,5082024019,,,,,,,,,49.92,"{""zoning_score"": 120.0, ""lot_size_score"": 39.58, ""toc_bonus"": 0.0, ""financial_score"": 0, ""risk_penalty"": 0}",Commercial Development,D
2134026017,19835 W HAMLIN ST,91367.0,RS-1-RIO,"7,498.9 (sq ft)","2,121.0 (sq ft)",1.0,,7498.9,2121.0,RS,34.24286494924874,-118.35534360711186,False,No,none,0,none,none,none,,7321868.578320657,8428646.084205471,2134026017,19835 W HAMLIN ST,,,,,,,,30.88,"{""zoning_score"": 43.0, ""lot_size_score"": 66.663, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
4220016018,11939 W JEFFERSON BLVD,90230.0,R3-1,"2,500.1 (sq ft)","1,140.0 (sq ft)",2.0,,2500.1,1140.0,R3,33.938897604665605,-118.28184527086785,False,No,none,0,none,none,none,,1105099.3705406073,1446495.2543229891,4220016018,11939 W JEFFERSON BLVD,0.0,0.0,No TOC Tier,North Hollywood,45776.0,rail,Red,39.0,"{""zoning_score"": 80.0, ""lot_size_score"": 42.5005, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Multi-Family Development,D
2787034011,17471 W RAYMER ST,91325.0,RA-1,"24,939.4 (sq ft)","4,067.0 (sq ft)",1.0,,24939.4,4067.0,RA,34.26753726629466,-118.29541670502445,False,No,none,0,none,none,none,,26151638.69974996,27356567.221904647,2787034011,17471 W RAYMER ST,,,,,,,,34.79,"{""zoning_score"": 38.0, ""lot_size_score"": 94.9394, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2701039017,20133 W VIA CELLINI,91326.0,RE11-1-H,"11,049.6 (sq ft)","4,706.0 (sq ft)",1.0,,11049.6,4706.0,RE11,34.26445221603712,-118.2530238782498,False,No,none,0,none,none,none,,5983033.812895442,7937098.1477974765,2701039017,20133 W VIA CELLINI,0.0,0.0,No TOC Tier,North Hollywood,52800.0,rail,Red,31.92,"{""zoning_score"": 40.0, ""lot_size_score"": 77.0992, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5436026022,3455 W GARDEN AVE,90039.0,R1-1-RIO,"6,756.3 (sq ft)","1,871.0 (sq ft)",1.0,,6756.3,1871.0,R1,34.115706815870716,-118.27138175905198,False,No,none,0,none,none,none,,6563850.857238194,7653182.159304814,5436026022,3455 W GARDEN AVE,0.0,0.0,No TOC Tier,North Hollywood,26062.0,rail,Red,31.01,"{""zoning_score"": 45.0, ""lot_size_score"": 63.7815, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5185027025,656 S MATHEWS ST,90023.0,R2-1-CUGU,"5,250.1 (sq ft)",839.0 (sq ft),1.0,,5250.1,839.0,R2,34.01760597804185,-118.22776898307022,False,No,none,0,none,none,none,,5209035.7587142605,5619612.071480001,5185027025,656 S MATHEWS ST,,,,,,,,34.75,"{""zoning_score"": 60.0, ""lot_size_score"": 56.2505, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2269018014,14006 W LA MAIDA ST,91423.0,R1-1-RIO,"5,994.0 (sq ft)","1,970.0 (sq ft)",1.0,,5994.0,1970.0,R1,34.244501728463675,-118.1703830182332,False,No,none,0,none,none,none,,7183200.162465672,7978438.437102824,2269018014,14006 W LA MAIDA ST,0.0,0.0,No TOC Tier,North Hollywood,37651.0,rail,Red,30.24,"{""zoning_score"": 45.0, ""lot_size_score"": 59.97, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2272028010,3624 N GLENRIDGE DR,91423.0,RE40-1-H,"12,242.6 (sq ft)","2,655.0 (sq ft)",1.0,,12242.6,2655.0,RE40,34.24727165434455,-118.15813644162954,False,No,none,0,none,none,none,,14499228.359497005,15495368.874750951,2272028010,3624 N GLENRIDGE DR,0.0,0.0,No TOC Tier,Maravilla,6416.0,rail,Gold,32.4,"{""zoning_score"": 40.0, ""lot_size_score"": 79.4852, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2279008013,3525 N WOODCLIFF ROAD,91403.0,RE15-1-H,"6,966.5 (sq ft)","1,877.0 (sq ft)",1.0,,6966.5,1877.0,RE15,34.250557113389696,-118.26385963888683,False,No,none,0,none,none,none,,3497580.995873439,4234459.21345382,2279008013,3525 N WOODCLIFF ROAD,0.0,0.0,No TOC Tier,Hollywood/Western,12825.0,rail,Red,29.47,"{""zoning_score"": 40.0, ""lot_size_score"": 64.8325, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
4116016012,260 E REES ST,90293.0,R1-1,"6,994.2 (sq ft)","2,340.0 (sq ft)",1.0,,6994.2,2340.0,R1,33.94639296119041,-118.44799238354537,False,No,none,0,none,none,none,,7634265.39377135,9026470.564648258,4116016012,260 E REES ST,,,,,,,,31.24,"{""zoning_score"": 45.0, ""lot_size_score"": 64.971, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5469009002,645 N AVE 50,90042.0,RD2-1-HCR,"6,154.0 (sq ft)","1,092.0 (sq ft)",1.0,,6154.0,1092.0,RD2,34.102792247497035,-118.2208862034141,False,No,none,0,none,none,none,,4677025.469482969,5219532.304228608,5469009002,645 N AVE 50,,,,,,,,44.4,"{""zoning_score"": 85.0, ""lot_size_score"": 60.769999999999996, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
