apn,address,zip_code,zoning,lot_size,building_sqft,units,toc_status
5089017007,"838 S SIERRA BONITA AVE",90036,R1-1-O-HPOZ,"7,702.5 (sq ft)","2,534.0 (sq ft)",1,
2642011021,"9415 N CANTERBURY AVE",91331,R1-1,"6,230.1 (sq ft)","1,372.0 (sq ft)",1,
2176024006,"4610 N ARRIBA DR",91356,RE11-1,"13,018.7 (sq ft)","2,693.0 (sq ft)",1,
5016034001,"5015 S DALTON AVE",90062,R2-1-CPIO,"5,251.6 (sq ft)","1,653.0 (sq ft)",1,
2779014011,"21341 W COMMUNITY ST",91304,RA-1,"31,198.6 (sq ft)","2,629.0 (sq ft)",1,
4316010001,"3116 S QUEENSBURY DR",90064,R1V2,"7,535.0 (sq ft)","1,529.0 (sq ft)",1,
5473040027,"4592 N ELLENWOOD DR",90041,RD2-1,"4,799.9 (sq ft)","2,406.0 (sq ft)",1,
6017015021,"1913 W 76TH ST",90047,R1-1,"6,700.4 (sq ft)","1,869.0 (sq ft)",1,
5033012030,"3870 S EDGEHILL DR",90008,R1-1,"5,853.3 (sq ft)","1,511.0 (sq ft)",1,
7423001006,"637 N AVALON BLVD",90744,[Q]C2-2D-CUGU,"1,824.6 (sq ft)","2,750.0 (sq ft)",1,
2222022004,"15414 W LEADWELL ST",91406,R1-1,"6,749.6 (sq ft)","2,660.0 (sq ft)",1,
7422015029,"1522 N LAKME AVE",90744,R1-1XL-O-CUGU,"5,410.8 (sq ft)","784.0 (sq ft)",1,
5128008018,"412 E 28TH ST",90011,RD1.5-1,"4,092.1 (sq ft)","935.0 (sq ft)",1,
2537006010,"12402 W BROMWICH ST",91331,[T][Q]M1-1-CUGU,"8,235.3 (sq ft)","1,332.0 (sq ft)",1,
2728004006,"10643 N BATON ROUGE AVE",91326,RE11-1,"12,374.6 (sq ft)","2,554.0 (sq ft)",1,
2386028023,"13416 W NEWCOMB DR",91423,R1-1,"4,540.3 (sq ft)",,,
5523030026,"565 N IRVING BLVD",90004,R1R3-RG,"5,084.7 (sq ft)","1,697.0 (sq ft)",1,
5159013018,"1562 W ROCKWOOD ST",90026,RD1.5-1-O,"5,974.5 (sq ft)",,,
2024019024,"22753 W GAULT ST",91307,RS-1,"7,707.2 (sq ft)","1,896.0 (sq ft)",1,
2745013029,"10158 N HANNA AVE",91311,R1-1,"5,004.5 (sq ft)","1,820.0 (sq ft)",1,
6061025010,"518 W 105TH ST",90044,R1-1,"4,733.9 (sq ft)","1,495.0 (sq ft)",1,
2247020003,"13956 W WEDDINGTON ST",91401,R1-1,"22,530.9 (sq ft)","3,097.0 (sq ft)",1,
2582015028,"13955 N SIMSHAW AVE",91342,RS-1,"9,689.1 (sq ft)","1,599.0 (sq ft)",1,
4238006026,"514 E ALTAIR PL",90291,RD1.5-1-O,"2,707.2 (sq ft)","3,100.0 (sq ft)",1,
4240007016,"226 S 4TH AVE",90291,RD1.5-1,"4,171.8 (sq ft)","964.0 (sq ft)",1,
5691007021,"5308 N MOUNT HELENA AVE",90041,R1-1-HCR,"10,792.4 (sq ft)","1,558.0 (sq ft)",1,
4379006021,"2595 N BASIL LANE",90077,RE40-1-H-HCR,"2,493.0 (sq ft)","2,109.0 (sq ft)",1,
5013003004,"5131 S WEST BLVD",90043,R1-1,"7,000.3 (sq ft)","1,370.0 (sq ft)",1,
2769015008,"8925 N LINDLEY AVE",91325,R1-1,"18,955.9 (sq ft)","2,483.0 (sq ft)",1,
7470022032,"1335 W 35TH ST",90731,R1-1XL,"6,250.8 (sq ft)","833.0 (sq ft)",1,
5510010010,"6217 W 5TH ST",90048,R1-1-O-RFA,"6,025.3 (sq ft)","2,440.0 (sq ft)",1,
5178024028,"427 N CONCORD ST",90063,R2-1-CUGU,"4,637.1 (sq ft)","1,996.0 (sq ft)",1,
5537018012,"1011 N NORMANDIE AVE",90029,R3-1XL,"8,483.4 (sq ft)","7,237.0 (sq ft)",8,
4264019027,"1129 S CARMELINA AVE",90049,RE9-1,"8,993.4 (sq ft)","3,338.0 (sq ft)",1,
5523034024,"423 N WINDSOR BLVD",90004,R1R3-RG,"4,998.0 (sq ft)","1,475.0 (sq ft)",1,
2074027014,"4837 N DUNMAN AVE",91364,RE15-1-H,"15,839.9 (sq ft)","2,165.0 (sq ft)",1,
2239007018,"6234 N MATILIJA AVE",91401,RE9-1,"15,999.5 (sq ft)","2,031.0 (sq ft)",1,
5594024037,"4107 W GARDEN AVE",90039,R1-1-RIO,"4,944.6 (sq ft)","1,794.0 (sq ft)",1,
2755017022,"17401 W PLUMMER ST",91325,RA-1,"14,808.4 (sq ft)","2,595.0 (sq ft)",1,
2228030001,"7127 N LOUISE AVE",91406,R1-1,"9,771.8 (sq ft)","1,726.0 (sq ft)",1,
